clone	superClone.size	superClone.index	superClone.sizeRank	SCnum	SC	population	year	medrd	Nonindependent	WildSequenced	Sex	Species	LowReadDepth	Notes
April_2017_DBunk_237	16	41	6	6	F	DBunk	2017	19	0	0	female	pulex		
April_2017_DBunk_263	16	41	6	6	F	DBunk	2017	12	0	0	female	pulex		
April_2017_DBunk_45	16	41	6	6	F	DBunk	2017	14	0	0	female	pulex		
April_2017_DBunk_7	16	41	6	6	F	DBunk	2017	18	0	0	female	pulex		
April_2017_DBunk_71	16	41	6	6	F	DBunk	2017	13	0	0	female	pulex		
May_2017_DBunk_536	16	41	6	6	F	DBunk	2017	9	0	0	female	pulex		
May_2017_DBunk_550	16	41	6	6	F	DBunk	2017	16	0	0	female	pulex		
May_2017_DBunk_569	16	41	6	6	F	DBunk	2017	19	0	0	female	pulex		
Spring_2017_DBunk_101	16	41	6	6	F	DBunk	2017	19	0	0	female	pulex		
Spring_2017_DBunk_333	16	41	6	6	F	DBunk	2017	16	0	0	female	pulex		
Spring_2017_DBunk_347	16	41	6	6	F	DBunk	2017	20	0	0	female	pulex		
Spring_2017_DBunk_380	16	41	6	6	F	DBunk	2017	13	0	0	female	pulex		
Spring_2017_DBunk_83	16	41	6	6	F	DBunk	2017	13	0	0	female	pulex		
April_2017_Dbarb_11	15	66	7	7	G	Dbarb	2017	13	0	0	female	obtusa		
March15_2019_DBunk_MomPE1	15	66	7	7	G	DBunk	2019	13	0	1	female	obtusa		
March15_2019_DBunk_MomPE20	15	66	7	7	G	DBunk	2019	9	0	1	female	obtusa		
March20_2018_DBunk_10	15	66	7	7	G	DBunk	2018	12	0	1	female	obtusa		
March20_2018_DBunk_18	15	66	7	7	G	DBunk	2018	12	0	1	female	obtusa		
March20_2018_DBunk_21	15	66	7	7	G	DBunk	2018	3	0	1	female	obtusa	1	
March20_2018_DBunk_22	15	66	7	7	G	DBunk	2018	6	0	1	female	obtusa		
March20_2018_DBunk_23	15	66	7	7	G	DBunk	2018	9	0	1	female	obtusa		
March20_2018_DBunk_26	15	66	7	7	G	DBunk	2018	15	0	1	female	obtusa		
March20_2018_DBunk_37	15	66	7	7	G	DBunk	2018	5	0	1	female	obtusa		
March20_2018_DBunk_38	15	66	7	7	G	DBunk	2018	20	0	1	female	obtusa		
March20_2018_DBunk_40	15	66	7	7	G	DBunk	2018	13	0	1	female	obtusa		
March20_2018_DBunk_41	15	66	7	7	G	DBunk	2018	10	0	1	female	obtusa		
March20_2018_DBunk_42	15	66	7	7	G	DBunk	2018	8	0	1	female	obtusa		
March20_2018_DBunk_43	15	66	7	7	G	DBunk	2018	12	0	1	female	obtusa		
Spring_2016_D8_8.10	13	144	8	8	H	D8	2016	8	0	0	female	pulex		
Spring_2016_D8_8.12	13	144	8	8	H	D8	2016	20	0	0	female	pulex		
Spring_2016_D8_8.14	13	144	8	8	H	D8	2016	20	0	0	female	pulex		
Spring_2016_D8_8.18	13	144	8	8	H	D8	2016	18	0	0	female	pulex		
Spring_2016_D8_8.21	13	144	8	8	H	D8	2016	10	0	0	female	pulex		
Spring_2016_D8_8.28	13	144	8	8	H	D8	2016	20	0	0	female	pulex		
Spring_2016_D8_8.29	13	144	8	8	H	D8	2016	23	0	0	female	pulex		
Spring_2016_D8_8.3	13	144	8	8	H	D8	2016	11	0	0	female	pulex		
Spring_2016_D8_8.32	13	144	8	8	H	D8	2016	13	0	0	female	pulex		
Spring_2016_D8_8.35	13	144	8	8	H	D8	2016	15	0	0	female	pulex		
Spring_2016_D8_8.36	13	144	8	8	H	D8	2016	13	0	0	female	pulex		
Spring_2016_D8_8.8	13	144	8	8	H	D8	2016	17	0	0	female	pulex		
Spring_2016_D8_8.9	13	144	8	8	H	D8	2016	25	0	0	female	pulex		
April29_2018_DBunk_Male2	12	11	9	9	I	DBunk	2018	12	0	1	male	pulex		
