clone	superClone.size	superClone.index	superClone.sizeRank	SCnum	SC	population	year	medrd	Nonindependent	WildSequenced	Sex	Species	AxCF1Hybrid	LabGenerated	OneLiterPheno	LowReadDepth	PnPsAnalysis
Spring_2016_D8_8.29	13	144	8	8	H	D8	2016	23	0	0	female	pulex	0	0	0		1
Spring_2016_D8_8.3	13	144	8	8	H	D8	2016	11	0	0	female	pulex	0	0	0		1
Spring_2016_D8_8.32	13	144	8	8	H	D8	2016	13	0	0	female	pulex	0	0	0		1
Spring_2016_D8_8.35	13	144	8	8	H	D8	2016	15	0	0	female	pulex	0	0	0		1
Spring_2016_D8_8.36	13	144	8	8	H	D8	2016	13	0	0	female	pulex	0	0	0		1
Spring_2016_D8_8.8	13	144	8	8	H	D8	2016	17	0	0	female	pulex	0	0	0		1
Spring_2016_D8_8.9	13	144	8	8	H	D8	2016	25	0	0	female	pulex	0	0	0		1
Spring_2016_D8_8.1					H	D8	2016		1	0	female	pulex	0	0	0		
April_2017_DBunk_11	12	24	9	11	K	DBunk	2017	17	0	0	female	pulex	0	0	0		1
April_2017_DBunk_145	12	24	9	11	K	DBunk	2017	17	0	0	female	pulex	0	0	0		1
April_2017_DBunk_50	12	24	9	11	K	DBunk	2017	12	0	0	female	pulex	0	0	0		1
April_2017_DBunk_52	12	24	9	11	K	DBunk	2017	13	0	0	female	pulex	0	0	0		1
April_2017_DBunk_65	12	24	9	11	K	DBunk	2017	20	0	0	female	pulex	0	0	0		1
April_2017_DBunk_90	12	24	9	11	K	DBunk	2017	38	0	0	female	pulex	0	0	0		1
April_2017_DBunk_96	12	24	9	11	K	DBunk	2017	7	0	0	female	pulex	0	0	0		1
May_2017_DBunk_520	12	24	9	11	K	DBunk	2017	19	0	0	female	pulex	0	0	0		1
May_2017_DBunk_561	12	24	9	11	K	DBunk	2017	17	0	0	female	pulex	0	0	0		1
May_2017_DBunk_567	12	24	9	11	K	DBunk	2017	15	0	0	female	pulex	0	0	0		1
Spring_2017_DBunk_215	12	24	9	11	K	DBunk	2017	17	0	0	female	pulex	0	0	0		1
Spring_2017_DBunk_399	12	24	9	11	K	DBunk	2017	12	0	0	female	pulex	0	0	0		1
April_2017_DBunk_108	9	23	10	12	L	DBunk	2017	20	0	0	female	pulex	0	0	0		1
April_2017_DBunk_149	9	23	10	12	L	DBunk	2017	13	0	0	female	pulex	0	0	0		1
April_2017_DBunk_151	9	23	10	12	L	DBunk	2017	8	0	0	female	pulex	0	0	0		1
April_2017_DBunk_253	9	23	10	12	L	DBunk	2017	7	0	0	female	pulex	0	0	0		1
April_2017_DBunk_314	9	23	10	12	L	DBunk	2017	8	0	0	female	pulex	0	0	0		1
April_2017_DBunk_6	9	23	10	12	L	DBunk	2017	36	0	0	female	pulex	0	0	0		1
Spring_2017_DBunk_106	9	23	10	12	L	DBunk	2017	18	0	0	female	pulex	0	0	0		1
Spring_2017_DBunk_277	9	23	10	12	L	DBunk	2017	10	0	0	female	pulex	0	0	0		1
Spring_2017_DBunk_298	9	23	10	12	L	DBunk	2017	16	0	0	female	pulex	0	0	0		1
April_2017_DBunk_112	8	26	11	13	M	DBunk	2017	21	0	0	female	pulex	0	0	0		
April_2017_DBunk_23	8	26	11	13	M	DBunk	2017	1	0	0	female	pulex	0	0	0	1	
April_2017_DBunk_266	8	26	11	13	M	DBunk	2017	18	0	0	female	pulex	0	0	0		
April_2017_DBunk_27	8	26	11	13	M	DBunk	2017	11	0	0	female	pulex	0	0	0		
