Clone,NCBISampAccession,SC,population,year,month,medrd,WildSequenced,Sex,Species,AxCF1Hybrid,LabGenerated,OneLiterPheno,LowReadDepth
April_2017_Dramp_14,SAMN19067570,V,Dramp,2017,April,17,0,female,pulex,0,0,0,0
April_2017_Dramp_17,SAMN19067571,OO,Dramp,2017,April,18,0,female,pulex,0,0,0,0
April_2017_Dramp_6,SAMN19067572,V,Dramp,2017,April,18,0,female,pulex,0,0,0,0
April_2017_Dramp_9,SAMN19067573,OO,Dramp,2017,April,18,0,female,pulex,0,0,0,0
April17_2018_D8_Male1,SAMN19088632,OO,D8,2018,April,10,1,male,pulex,1,0,0,0
April17_2018_D8_Male2,SAMN19088633,T,D8,2018,April,11,1,male,pulex,1,0,0,0
April17_2018_D8_Male3,SAMN19088634,X,D8,2018,April,8,1,male,pulex,1,0,0,0
April17_2018_D8_Male4,SAMN19088635,AB,D8,2018,April,8,1,male,pulex,1,0,0,0
April17_2018_D8_Male5,SAMN19088636,Q,D8,2018,April,3,1,male,pulex,1,0,0,1
April29_2018_D8_MomPE1,SAMN19088637,OO,D8,2018,April,5,1,female,pulex,1,0,0,0
April29_2018_D8_MomPE2,SAMN19088638,AB,D8,2018,April,8,1,female,pulex,1,0,0,0
April29_2018_D8_MomPE3,SAMN19088639,U,D8,2018,April,9,1,female,pulex,1,0,0,0
April29_2018_D8_MomPE4,SAMN19088640,OO,D8,2018,April,9,1,female,pulex,1,0,0,0
April29_2018_D8_MomPE5,SAMN19088641,U,D8,2018,April,8,1,female,pulex,1,0,0,0
April29_2018_DBunk_Male1,SAMN19088642,OO,DBunk,2018,April,9,1,male,pulex,0,0,0,0
April29_2018_DBunk_Male2,SAMN19088643,I,DBunk,2018,April,12,1,male,pulex,0,0,0,0
April29_2018_DBunk_Male3,SAMN19088644,U,DBunk,2018,April,8,1,male,pulex,1,0,0,0
April29_2018_DBunk_Male4,SAMN19088645,N,DBunk,2018,April,8,1,male,pulex,0,0,0,0
April29_2018_DBunk_Male5,SAMN19088646,J,DBunk,2018,April,8,1,male,pulex,0,0,0,0
April29_2018_DBunk_MomPE1,SAMN19088647,I,DBunk,2018,April,8,1,female,pulex,0,0,0,0
April29_2018_DBunk_MomPE2,SAMN19088648,N,DBunk,2018,April,11,1,female,pulex,0,0,0,0
April29_2018_DBunk_MomPE3,SAMN19088649,OO,DBunk,2018,April,8,1,female,pulex,1,0,0,0
April29_2018_DBunk_MomPE4,SAMN19088650,AC,DBunk,2018,April,6,1,female,pulex,0,0,0,0
April29_2018_DBunk_MomPE5,SAMN19088651,Q,DBunk,2018,April,9,1,female,pulex,1,0,0,0
April29_2018_DCat_Male1,SAMN19088652,B,DCat,2018,April,2,1,male,pulex,0,0,0,1
