af,MAC,pn,ps,SC,rep,sample.n,year
0.642857142857143,9,88,197,OO,11,8,18
0.0714285714285714,1,106,194,OO,11,8,18
0.714285714285714,10,65,124,OO,11,8,18
0.6875,11,175,455,OO,11,8,18
0.666666666666667,8,22,39,OO,11,8,18
0.1,1,3,12,OO,11,8,18
0.785714285714286,11,42,119,OO,11,8,18
0.0833333333333333,1,19,61,OO,11,8,18
0.2,2,8,9,OO,11,8,18
0.583333333333333,7,33,68,OO,11,8,18
0.25,3,26,39,OO,11,8,18
0.8,8,3,3,OO,11,8,18
0.4,4,7,9,OO,11,8,18
0.928571428571429,13,47,88,OO,11,8,18
0.9375,15,138,277,OO,11,8,18
0.6,6,8,9,OO,11,8,18
0.3,3,7,14,OO,11,8,18
0.916666666666667,11,16,16,OO,11,8,18
0.75,9,14,32,OO,11,8,18
0.7,7,8,3,OO,11,8,18
0.5,3,0,1,OO,11,8,18
1,14,56,72,OO,11,8,18
0.5,4,1,1,OO,11,8,18
1,16,162,345,OO,11,8,18
0.9,9,3,3,OO,11,8,18
0.875,7,0,1,OO,11,8,18
1,12,11,19,OO,11,8,18
0.625,5,0,1,OO,11,8,18
0.333333333333333,2,1,0,OO,11,8,18
0.125,1,2,0,OO,11,8,18
0.375,3,1,2,OO,11,8,18
0.25,2,0,2,OO,11,8,18
1,10,0,1,OO,11,8,18
1,8,2,0,OO,11,8,18
0,0,15179,18993,OO,12,8,17
0.25,4,450,851,OO,12,8,17
0.357142857142857,5,75,160,OO,12,8,17
0.428571428571429,6,76,157,OO,12,8,17
0.0714285714285714,1,131,171,OO,12,8,17
0.75,12,166,349,OO,12,8,17
0.285714285714286,4,81,161,OO,12,8,17
0.0625,1,721,907,OO,12,8,17
0.0833333333333333,1,24,17,OO,12,8,17
0.1875,3,447,892,OO,12,8,17
0.166666666666667,2,8,26,OO,12,8,17
0.8125,13,128,265,OO,12,8,17
0.785714285714286,11,19,65,OO,12,8,17
0.214285714285714,3,88,206,OO,12,8,17
0.142857142857143,2,90,166,OO,12,8,17
0.875,14,75,164,OO,12,8,17
0.125,2,486,976,OO,12,8,17
0.8,8,0,3,OO,12,8,17
0.714285714285714,10,38,70,OO,12,8,17
0.857142857142857,12,16,27,OO,12,8,17
0.642857142857143,9,42,105,OO,12,8,17
0.9375,15,87,200,OO,12,8,17
0.5,7,66,158,OO,12,8,17
0.928571428571429,13,15,27,OO,12,8,17
0.25,3,10,16,OO,12,8,17
0.3125,5,313,770,OO,12,8,17
0.2,2,1,2,OO,12,8,17
0.375,6,407,912,OO,12,8,17
0.333333333333333,4,14,14,OO,12,8,17
0.571428571428571,8,62,133,OO,12,8,17
0.4375,7,389,903,OO,12,8,17
1,16,43,77,OO,12,8,17
0.5,5,0,4,OO,12,8,17
0.5625,9,333,635,OO,12,8,17
0.5,8,281,605,OO,12,8,17
0.625,10,253,596,OO,12,8,17
0.6875,11,180,372,OO,12,8,17
0.666666666666667,8,8,9,OO,12,8,17
0.916666666666667,11,1,1,OO,12,8,17
0.583333333333333,7,8,15,OO,12,8,17
0.3,3,0,2,OO,12,8,17
0.1,1,4,4,OO,12,8,17
0.5,6,15,17,OO,12,8,17
0.416666666666667,5,8,14,OO,12,8,17
0.75,9,2,10,OO,12,8,17
0.375,3,0,1,OO,12,8,17
1,12,2,0,OO,12,8,17
1,14,5,5,OO,12,8,17
0.833333333333333,10,1,3,OO,12,8,17
0.7,7,0,1,OO,12,8,17
0.4,4,0,1,OO,12,8,17
0,0,16173,20471,OO,12,8,18
0.5,6,146,292,OO,12,8,18
0.166666666666667,1,9,15,OO,12,8,18
0.642857142857143,9,116,242,OO,12,8,18
0.5,8,168,400,OO,12,8,18
0.0625,1,91,142,OO,12,8,18
0.5,7,201,460,OO,12,8,18
0.0714285714285714,1,138,172,OO,12,8,18
0.5,3,9,26,OO,12,8,18
0.571428571428571,8,137,291,OO,12,8,18
0.0833333333333333,1,93,130,OO,12,8,18
0.428571428571429,6,118,322,OO,12,8,18
0.1,1,48,71,OO,12,8,18
0.416666666666667,5,119,217,OO,12,8,18
0.357142857142857,5,131,261,OO,12,8,18
0.5625,9,104,248,OO,12,8,18
0.375,6,83,227,OO,12,8,18
0.4375,7,79,237,OO,12,8,18
0.285714285714286,4,122,283,OO,12,8,18
0.583333333333333,7,95,167,OO,12,8,18
0.5,5,83,135,OO,12,8,18
0.333333333333333,2,15,18,OO,12,8,18
0.375,3,36,55,OO,12,8,18
0.4,4,67,129,OO,12,8,18
0.5,4,37,51,OO,12,8,18
0.1875,3,79,185,OO,12,8,18
0.666666666666667,8,74,150,OO,12,8,18
0.125,2,48,128,OO,12,8,18
0.625,10,112,247,OO,12,8,18
0.2,2,40,91,OO,12,8,18
0.142857142857143,2,70,211,OO,12,8,18
0.6,6,60,97,OO,12,8,18
0.6875,11,72,202,OO,12,8,18
0.166666666666667,2,66,145,OO,12,8,18
0.214285714285714,3,108,260,OO,12,8,18
0.333333333333333,4,100,195,OO,12,8,18
0.3,3,59,104,OO,12,8,18
0.25,3,96,174,OO,12,8,18
0.714285714285714,10,99,204,OO,12,8,18
0.75,9,70,108,OO,12,8,18
0.625,5,14,45,OO,12,8,18
0.3125,5,80,216,OO,12,8,18
0.75,12,66,152,OO,12,8,18
0.785714285714286,11,71,181,OO,12,8,18
0.9,9,17,35,OO,12,8,18
0.875,7,8,17,OO,12,8,18
0.8125,13,56,145,OO,12,8,18
0.857142857142857,12,71,139,OO,12,8,18
0.25,2,30,44,OO,12,8,18
0.25,4,91,222,OO,12,8,18
1,14,143,275,OO,12,8,18
1,10,42,64,OO,12,8,18
1,16,146,332,OO,12,8,18
1,8,24,23,OO,12,8,18
0.833333333333333,10,44,97,OO,12,8,18
0.916666666666667,11,39,65,OO,12,8,18
1,12,66,133,OO,12,8,18
0.7,7,43,80,OO,12,8,18
0.9375,15,28,66,OO,12,8,18
0.875,14,47,115,OO,12,8,18
0.928571428571429,13,45,88,OO,12,8,18
0.8,8,29,43,OO,12,8,18
0.666666666666667,4,6,10,OO,12,8,18
0.75,6,29,25,OO,12,8,18
NA,0,0,1,OO,12,8,18
1,6,5,11,OO,12,8,18
0.125,1,23,35,OO,12,8,18
0.5,2,2,5,OO,12,8,18
0.833333333333333,5,4,4,OO,12,8,18
0.25,1,2,4,OO,12,8,18
1,4,1,1,OO,12,8,18
0.5,1,0,1,OO,12,8,18
0.75,3,4,1,OO,12,8,18
1,2,1,0,OO,12,8,18
0,0,15325,19106,OO,13,8,17
0.1875,3,469,978,OO,13,8,17
0.357142857142857,5,119,217,OO,13,8,17
0.375,6,493,1038,OO,13,8,17
0.0625,1,624,811,OO,13,8,17
0.4375,7,310,755,OO,13,8,17
0.714285714285714,10,38,81,OO,13,8,17
0.428571428571429,6,110,208,OO,13,8,17
0.125,2,442,905,OO,13,8,17
0.625,10,226,579,OO,13,8,17
0.0714285714285714,1,128,188,OO,13,8,17
0.142857142857143,2,84,189,OO,13,8,17
0.214285714285714,3,124,201,OO,13,8,17
0.3,3,0,4,OO,13,8,17
0.785714285714286,11,17,47,OO,13,8,17
0.8125,13,111,170,OO,13,8,17
0.75,12,142,289,OO,13,8,17
0.5625,9,256,465,OO,13,8,17
0.25,4,464,1010,OO,13,8,17
0.642857142857143,9,35,102,OO,13,8,17
0.6875,11,185,394,OO,13,8,17
0.875,14,39,89,OO,13,8,17
0.916666666666667,11,1,1,OO,13,8,17
0.928571428571429,13,3,8,OO,13,8,17
0.5,8,348,764,OO,13,8,17
0.9375,15,28,42,OO,13,8,17
0.166666666666667,2,17,26,OO,13,8,17
0.3125,5,358,853,OO,13,8,17
0.285714285714286,4,109,204,OO,13,8,17
0.0833333333333333,1,16,24,OO,13,8,17
0.5,7,78,184,OO,13,8,17
0.5,6,9,20,OO,13,8,17
0.4,4,1,1,OO,13,8,17
0.416666666666667,5,17,22,OO,13,8,17
1,14,0,2,OO,13,8,17
0.6,6,2,3,OO,13,8,17
0.571428571428571,8,51,119,OO,13,8,17
0.333333333333333,4,15,28,OO,13,8,17
0.666666666666667,8,5,5,OO,13,8,17
0.857142857142857,12,11,20,OO,13,8,17
0.583333333333333,7,9,25,OO,13,8,17
0.25,3,13,20,OO,13,8,17
1,16,12,25,OO,13,8,17
0.2,2,0,2,OO,13,8,17
0.75,9,1,7,OO,13,8,17
0.125,1,0,1,OO,13,8,17
0.75,6,0,1,OO,13,8,17
0.833333333333333,10,0,3,OO,13,8,17
0.8,8,0,1,OO,13,8,17
0.1,1,2,1,OO,13,8,17
1,12,1,0,OO,13,8,17
0,0,16016,20141,OO,13,8,18
0.3125,5,176,412,OO,13,8,18
0.333333333333333,4,59,95,OO,13,8,18
0.25,3,38,79,OO,13,8,18
0.6875,11,169,393,OO,13,8,18
0.5625,9,164,435,OO,13,8,18
0.25,4,146,326,OO,13,8,18
0.285714285714286,4,116,251,OO,13,8,18
0.5,6,45,79,OO,13,8,18
0.642857142857143,9,162,291,OO,13,8,18
0.4375,7,198,510,OO,13,8,18
0.571428571428571,8,127,297,OO,13,8,18
0.5,7,142,299,OO,13,8,18
0.214285714285714,3,135,229,OO,13,8,18
0.0625,1,185,311,OO,13,8,18
0.375,6,157,379,OO,13,8,18
0.625,10,188,469,OO,13,8,18
0.357142857142857,5,134,269,OO,13,8,18
0.5,8,174,425,OO,13,8,18
0.428571428571429,6,157,309,OO,13,8,18
0.0714285714285714,1,170,220,OO,13,8,18
0.75,9,37,67,OO,13,8,18
0.416666666666667,5,53,90,OO,13,8,18
0.166666666666667,2,52,74,OO,13,8,18
0.714285714285714,10,115,218,OO,13,8,18
